time,open,high,low,close,Smoothed HA (Open),Smoothed HA (High),Smoothed HA (Low),Smoothed HA (Close),TDFI,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1516717800,52.1739,53.62,52.03,53.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516804200,54.61,56,51.5451,53.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516890600,54.41,54.96,52.75,53.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516977000,54.58,57.81,53.921,57.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517236200,57.22,60.95,56.0301,58.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517322600,57.5,58.18,54.29,57.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517409000,58.76,59.7,57.25,58.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517495400,55.72,58.6,54.9416,56.1444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517581800,55.15,56.6,52.1,52.5252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517841000,49.42,53.88,45,46.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517927400,41.51,49.86,41.2,49.3173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518013800,49.92,51.9,48.771,49.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518100200,53.5,55.2,44.6745,44.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518186600,47.79,48.12,41.6001,46.6201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518445800,49.27,49.92,46.62,49.0196,NaN,NaN,NaN,NaN,NaN,43.0407746946199,NaN,NaN,NaN,43.0407746946199,NaN,NaN,NaN
1518532200,48.91,52.44,48.231,51.7725,NaN,NaN,NaN,NaN,NaN,47.79562013440322,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518618600,51.94,56.19,51.94,55.86,NaN,NaN,NaN,NaN,NaN,53.94337389517736,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518705000,58.22,59.2,55.869,59.2,NaN,NaN,NaN,NaN,NaN,58.26803194704599,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518791400,59.01,59.889,57.32,58.2621,52.66710614576472,54.641127774354764,49.701094206904486,52.202429962654605,NaN,56.65914898358268,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519137000,57.08,60.642,57.08,58.6,52.6605430437074,54.97463255113166,50.175819158738555,52.605754403277864,NaN,57.11853739188087,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519223400,60,62.4299,59.132,59.2289,52.81787371489987,55.4443429372011,50.78491780901627,53.12672185846276,NaN,58.01061009149143,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519309800,61,61.2344,57.531,58.9,53.123436416014506,55.95018400763763,51.41957076455402,53.69165472157123,NaN,57.33880046272747,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519396200,60.07,62.04,59.31,62,53.53120444733821,56.490121120652574,52.105261726044446,54.30663772178199,NaN,61.82612557130918,NaN,NaN,NaN,NaN,NaN,NaN,NaN
