Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2019-01-02,51.98350143432617,52.30509143967237,50.48540637746539,50.52815156095039,30652000
2019-01-03,50.502811431884766,52.53671945146995,50.40389681933454,51.742440876769706,36822000
2019-01-04,53.21915817260742,53.225620006789256,51.06734842927748,51.324422490909136,41878000
2019-01-07,53.10383987426758,53.38268469094256,52.42636740862265,53.25842332238457,39638000
2019-01-08,53.49601364135742,53.90756878221173,52.713168475430805,53.48756471708144,35298000
2019-01-09,53.41549301147461,53.81163681589123,53.0049314292169,53.76292656960799,23986000
2019-01-10,53.20026779174805,53.24102588542835,52.57299966820446,53.06755749714106,29128000
2019-01-11,52.547149658203125,52.87445442603151,52.11422197211027,52.844879402172516,30416000
2019-01-14,51.925846099853516,52.26582427406946,51.75511185406448,52.036687031603236,22886000
2019-01-15,53.53925704956055,53.68340070725814,52.05756673218158,52.198229190285204,29272000
2019-01-16,53.7291259765625,54.296007809699574,53.64810656119154,53.68091250373187,26636000
2019-01-17,54.1729850769043,54.26742493032774,53.357830804008486,53.65456701226358,24854000
2019-01-18,54.58851623535156,55.09013506603249,54.22269072410284,54.67500394057345,39112000
2019-01-22,53.209716796875,54.25301483480362,52.85929880293478,54.07855289262223,32270000
2019-01-23,53.460723876953125,53.92595699085341,52.6743975109048,53.54919867607287,19340000
2019-01-24,53.37771224975586,53.65481646201617,52.721612386821285,53.505951587760414,27226000
2019-01-25,54.22716522216797,54.37677715791698,53.771374600580735,53.929435460184685,22382000
2019-01-28,53.18784713745117,53.83002984047551,52.87569958649458,53.68638296108396,25686000
2019-01-29,52.71763229370117,53.43984078237367,52.481289975335926,53.317069738200075,20436000
2019-01-30,54.13123321533203,54.22766015810915,53.027294889911616,53.10583044067904,25596000
2019-01-31,55.488670349121094,55.53638705199166,54.44686262206701,54.82412150058368,30766000
2019-02-01,55.209327697753906,55.917619055992304,54.91805976125402,55.29134066076144,29244000
2019-02-04,56.30531311035156,56.30531311035156,55.12333974143421,55.304263512985486,51530000
2019-02-05,56.960914611816406,57.00365979510352,55.53230702982528,55.909664480934275,71044000
2019-02-06,55.432010650634766,57.01112149813383,55.30973635656092,56.641818545563574,42112000
2019-02-07,54.61088180541992,54.91557015096259,53.97913518701489,54.881770665931136,40896000
2019-02-08,54.4294548034668,54.62081835435816,54.00647017723522,54.02883631129695,21516000
2019-02-11,54.42697525024414,54.97049358704377,54.32011229538558,54.52340219190999,21304000
2019-02-12,55.737186431884766,55.93227768214048,54.965770918686104,55.0129908434263,32182000
2019-02-13,55.67704391479492,56.40123951723357,55.594534186050076,55.91711772246927,20996000
2019-02-14,55.752105712890625,56.07816669985688,55.19417332055294,55.57217547424374,18952000
2019-02-15,55.35346984863281,56.24914679105507,55.2043584771512,56.170118257150115,28996000
2019-02-19,55.59751892089844,55.76303515173239,55.17204660740363,55.17204660740363,20928000
2019-02-20,55.360923767089844,55.83858753372068,54.93744232592183,55.66859655503076,21756000
2019-02-21,54.52439880371094,55.26847672659979,54.303213710785634,55.2138014189413,28302000
2019-02-22,55.1904411315918,55.23368308792357,54.45630245807663,54.719735960002055,20990000
2019-02-25,55.14223098754883,55.5965275269973,55.0363577742093,55.47027905754999,28262000
2019-02-26,55.427032470703125,55.644736356842216,54.67102445027817,54.960802054126326,29426000
2019-02-27,55.47276306152344,55.568689442424954,54.72470717908519,55.02044984961602,19368000
2019-02-28,55.66511917114258,56.04933665503377,55.22225219795658,55.236666184042804,30850000
2019-03-01,56.7123908996582,56.81080493245298,55.90518877902283,55.91264415774025,29006000
2019-03-04,57.05087661743164,57.57178231628478,56.20043257352203,57.01061529856554,28920000
2019-03-05,57.758182525634766,58.13494084883218,56.971109087207836,57.16321593855313,28864000
2019-03-06,57.5509147644043,58.033345319098544,57.433115217555404,57.781045568552884,21986000
2019-03-07,56.827213287353516,57.49598658601576,56.410189865238785,57.44454219441434,23332000
2019-03-08,56.778499603271484,57.015092216990794,55.83311890111394,56.00360285903955,24248000
2019-03-11,58.44062042236328,58.46199680715695,56.88437258664652,56.88437258664652,34384000
2019-03-12,59.30746841430664,59.64545950317756,58.56488080528061,58.56488080528061,40262000
2019-03-13,59.313438415527344,59.69169085814546,59.24484588868841,59.67752336144764,28718000
2019-03-14,58.92722702026367,59.54008494641327,58.87404203143705,59.372577828662855,23456000
2019-03-15,58.873046875,59.4749682065785,58.78109467722698,59.316410581484256,49236000
2019-03-18,58.86310577392578,59.14840861873019,58.52317692421133,58.81538907696062,25852000
2019-03-19,59.58830261230469,59.64546178471126,58.943135471067016,59.08926621535729,30414000
2019-03-20,60.836875915527344,60.994436204641985,59.45508632473372,59.513739601388664,44548000
2019-03-21,61.21314239501953,61.2255692911988,60.2990772494758,60.44073324788182,24080000
2019-03-22,59.9188346862793,61.13659460670488,59.785874109029365,60.9536837492788,34284000
2019-03-25,59.29753112792969,59.9634716980415,59.001291668920715,59.49286889176449,29936000
2019-03-26,58.881004333496094,59.78612378446766,58.488337924677026,59.572394063013135,38024000
2019-03-27,58.3044319152832,59.027084161573804,57.6259620808811,58.92474524219907,28004000
2019-03-28,58.07926559448242,58.232108441567384,57.628992576812784,58.230864614403416,19234000
2019-03-29,58.318843841552734,58.60116606853141,57.80042577004336,58.39787237397406,25398000
2019-04-01,59.36860275268555,59.479443680667075,58.75077331926208,58.855156205560604,25050000
2019-04-02,59.6698112487793,59.712556429551455,58.93517585620605,59.412835807417956,16558000
2019-04-03,59.9397087097168,60.45563911625412,59.67031015614304,60.01724692321214,20286000
